"No.","Time","Source","Destination","Protocol","Length","Info"
"551","18.694490378","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"552","18.694490545","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"553","18.767210827","VMware_45:3c:fc","Broadcast","ARP","60","Who has 172.16.0.74? Tell 172.16.0.100"
"554","18.767211033","VMware_45:3c:fc","Broadcast","ARP","60","Who has 172.16.0.74? Tell 172.16.0.100"
"555","18.821434875","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"556","18.821435052","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"557","18.863934521","JuniperN_c6:4e:81","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.10.211"
"558","18.863934703","JuniperN_c6:4e:81","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.10.211"
"559","19.035333894","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=19) "
"560","19.035334351","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=19) (retransmission) "
"561","19.035719273","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=19, Arwnd=106496) DATA (TSN=19) "
"562","19.035719381","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=19, Arwnd=106496) DATA (TSN=19) (retransmission) "
"563","19.090049487","172.16.0.212","239.255.255.250","SSDP","218","M-SEARCH * HTTP/1.1 "
"564","19.090049877","172.16.0.212","239.255.255.250","SSDP","218","M-SEARCH * HTTP/1.1 "
"565","19.236488684","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=19, Arwnd=106496) "
"566","19.236488993","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=19, Arwnd=106496) "
"567","19.265304449","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8001"
"568","19.265664521","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8002"
"569","19.285397822","172.16.0.59","172.16.0.58","SCTP","70","DATA (TSN=19) "
"570","19.285398002","172.16.0.59","172.16.0.58","SCTP","70","DATA (TSN=19) (retransmission) "
"571","19.285754272","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=19, Arwnd=106496) DATA (TSN=19) "
"572","19.285754369","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=19, Arwnd=106496) DATA (TSN=19) (retransmission) "
"573","19.377563996","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"574","19.377564296","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"575","19.390082762","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"576","19.390083112","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"577","19.487406506","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=19, Arwnd=106496) "
"578","19.487406679","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=19, Arwnd=106496) "
"579","19.686805260","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"580","19.686805470","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"581","19.955808313","172.16.0.126","224.0.0.251","MDNS","106","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question OPT"
"582","19.955808585","172.16.0.126","224.0.0.251","MDNS","106","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question OPT"
"583","20.037225799","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=20) "
"584","20.037226084","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=20) (retransmission) "
"585","20.037602935","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=20, Arwnd=106496) DATA (TSN=20) "
"586","20.037603111","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=20, Arwnd=106496) DATA (TSN=20) (retransmission) "
"587","20.090605338","172.16.0.212","239.255.255.250","SSDP","218","M-SEARCH * HTTP/1.1 "
"588","20.090605546","172.16.0.212","239.255.255.250","SSDP","218","M-SEARCH * HTTP/1.1 "
"589","20.240473338","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=20, Arwnd=106496) "
"590","20.240473479","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=20, Arwnd=106496) "
"591","20.287347543","172.16.0.59","172.16.0.58","SCTP","78","DATA (TSN=20) "
"592","20.287347690","172.16.0.59","172.16.0.58","SCTP","78","DATA (TSN=20) (retransmission) "
"593","20.287665152","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=20, Arwnd=106496) DATA (TSN=20) "
"594","20.287665194","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=20, Arwnd=106496) DATA (TSN=20) (retransmission) "
"595","20.378243364","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"596","20.378243610","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"597","20.390919289","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"598","20.390919486","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"599","20.491404307","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=20, Arwnd=106496) "
"600","20.491404514","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=20, Arwnd=106496) "
"601","20.688747521","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"602","20.688747673","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"603","20.706311139","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"604","20.706311276","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"605","20.823748564","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"606","20.823748842","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"607","21.039046707","172.16.0.58","172.16.0.59","SCTP","70","DATA (TSN=21) "
"608","21.039046885","172.16.0.58","172.16.0.59","SCTP","70","DATA (TSN=21) (retransmission) "
"609","21.039407780","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=21, Arwnd=106496) DATA (TSN=21) "
"610","21.039407877","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=21, Arwnd=106496) DATA (TSN=21) (retransmission) "
"611","21.240518788","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=21, Arwnd=106496) "
"612","21.240519077","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=21, Arwnd=106496) "
"613","21.265220113","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8001"
"614","21.265632596","Netgear_16:1a:25","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:09:7c:2d:d6:40  Cost = 225008  Port = 0x8002"
"615","21.289219784","172.16.0.59","172.16.0.58","SCTP","70","DATA (TSN=21) "
"616","21.289219952","172.16.0.59","172.16.0.58","SCTP","70","DATA (TSN=21) (retransmission) "
"617","21.289593741","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=21, Arwnd=106496) DATA (TSN=21) "
"618","21.289593846","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=21, Arwnd=106496) DATA (TSN=21) (retransmission) "
"619","21.377867530","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"620","21.377867726","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"621","21.394626304","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"622","21.394626501","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"623","21.405336593","Netgear_16:1a:25","LLDP_Multicast","LLDP","142","MA/08:36:c9:16:1a:24 IN/xg2 120 SysN= SysD=XS748T ProSAFE 48-Port 10-Gigabit Smart Managed Switch "
